plant_name,plant_type,pot_or_ground,soil_type,soil_ph,soil_nitrogen,soil_phosphorus,soil_potassium,plant_age_weeks,sunlight_exposure,last_watered_days,temperature,humidity,rainfall,season,watering_status
Cactus,Outdoor,Pot,Sandy,6.3,32,11,20,49,Full Sun,7,24.0,59,10.7,Winter,0
Cactus,Outdoor,Pot,Sandy,6.4,26,27,23,65,Full Sun,7,17.5,75,1.1,Winter,0
Tomato,Outdoor,Ground,Loamy,7.1,68,37,44,45,Full Sun,4,35.8,64,19.6,Winter,0
Money Plant,Indoor,Ground,Loamy,6.0,67,48,49,23,Indirect Light,7,18.0,53,8.6,Summer,0
Aloe Vera,Outdoor,Pot,Sandy,7.2,29,30,18,53,Full Sun,2,21.0,78,0.8,Spring,0
Cactus,Outdoor,Ground,Sandy,7.9,39,27,25,36,Full Sun,7,27.0,60,14.1,Summer,0
Aloe Vera,Outdoor,Pot,Sandy,5.9,25,11,16,64,Full Sun,0,35.9,51,0.0,Winter,0
Cactus,Outdoor,Ground,Sandy,7.7,39,26,21,37,Full Sun,3,36.3,85,14.9,Spring,0
Aloe Vera,Outdoor,Pot,Sandy,6.7,38,18,17,4,Full Sun,1,18.0,68,12.5,Summer,0
Rose,Outdoor,Pot,Clayey,7.8,34,31,49,77,Full Sun,2,26.6,67,17.6,Winter,0
Cactus,Outdoor,Ground,Sandy,5.5,30,25,25,6,Full Sun,1,15.6,63,5.1,Monsoon,0
Snake Plant,Indoor,Ground,Loamy,5.6,68,36,37,83,Low Light,3,28.2,72,10.1,Autumn,0
Tomato,Outdoor,Ground,Loamy,6.7,71,41,47,70,Full Sun,1,20.5,84,19.6,Monsoon,0
Mint,Outdoor,Ground,Loamy,7.1,67,56,55,92,Partial Sun,2,22.0,67,8.2,Winter,0
Money Plant,Indoor,Ground,Loamy,5.8,46,60,47,61,Indirect Light,3,26.9,46,16.8,Summer,0
Cactus,Outdoor,Pot,Sandy,7.8,35,30,23,92,Full Sun,1,30.4,66,16.3,Monsoon,0
Money Plant,Indoor,Ground,Loamy,5.7,47,40,32,46,Indirect Light,4,36.5,51,11.6,Autumn,0
Rose,Outdoor,Pot,Clayey,6.6,41,40,50,58,Full Sun,6,37.0,39,8.5,Winter,0
Snake Plant,Indoor,Ground,Loamy,6.8,44,49,55,76,Low Light,1,36.6,52,13.3,Summer,0
Aloe Vera,Outdoor,Ground,Sandy,6.0,25,24,22,86,Full Sun,3,37.3,42,4.3,Spring,2
Aloe Vera,Outdoor,Ground,Sandy,6.8,33,25,25,68,Full Sun,6,17.6,45,15.6,Winter,0
Rose,Outdoor,Pot,Clayey,7.7,48,33,66,67,Full Sun,4,26.9,64,10.8,Winter,0
Cactus,Outdoor,Ground,Sandy,6.9,36,14,21,47,Full Sun,0,27.1,31,19.5,Summer,0
Aloe Vera,Outdoor,Ground,Sandy,7.7,28,18,15,76,Full Sun,6,37.2,33,13.6,Summer,0
Basil,Indoor,Ground,Loamy,5.8,46,36,37,7,Partial Sun,6,24.8,45,7.6,Summer,0
Mint,Outdoor,Ground,Loamy,5.6,48,48,48,76,Partial Sun,0,26.0,48,17.2,Summer,0
Spider Plant,Indoor,Ground,Loamy,5.7,45,49,41,71,Indirect Light,1,26.8,59,4.9,Winter,2
Mint,Outdoor,Pot,Loamy,6.9,65,57,52,36,Partial Sun,3,16.2,68,8.7,Summer,0
Aloe Vera,Outdoor,Ground,Sandy,6.3,27,19,19,39,Full Sun,7,37.7,66,6.9,Autumn,0
Mint,Outdoor,Ground,Loamy,6.5,45,51,58,60,Partial Sun,7,19.8,57,14.0,Summer,0
Money Plant,Indoor,Ground,Loamy,6.9,72,44,35,68,Indirect Light,3,23.1,39,9.6,Winter,0
Rose,Outdoor,Ground,Clayey,5.5,37,43,59,89,Full Sun,6,28.9,61,5.2,Winter,0
Mint,Outdoor,Pot,Loamy,7.4,73,60,38,100,Partial Sun,5,36.7,38,15.9,Winter,0
Spider Plant,Indoor,Pot,Loamy,6.2,77,58,43,16,Indirect Light,7,19.2,36,7.5,Winter,0
Cactus,Outdoor,Ground,Sandy,6.3,31,27,23,45,Full Sun,7,28.7,67,19.8,Monsoon,0
Rose,Outdoor,Ground,Clayey,6.3,31,25,45,27,Full Sun,0,18.9,34,4.7,Spring,2
Money Plant,Indoor,Ground,Loamy,6.3,76,43,35,63,Indirect Light,7,15.8,71,18.7,Monsoon,0
Money Plant,Indoor,Pot,Loamy,6.0,70,44,50,2,Indirect Light,7,31.2,41,1.5,Winter,1
Money Plant,Indoor,Pot,Loamy,6.6,55,43,44,26,Indirect Light,5,23.3,68,1.4,Summer,1
Rose,Outdoor,Pot,Clayey,7.8,49,42,55,8,Full Sun,0,15.5,83,11.1,Autumn,0
Rose,Outdoor,Ground,Clayey,7.6,48,39,66,29,Full Sun,3,20.3,44,1.6,Monsoon,2
Rose,Outdoor,Pot,Clayey,6.7,40,37,70,23,Full Sun,5,37.5,32,9.5,Monsoon,0
Mint,Outdoor,Pot,Loamy,7.7,41,48,53,65,Partial Sun,2,30.7,59,14.5,Spring,0
Cactus,Outdoor,Pot,Sandy,6.5,20,30,17,68,Full Sun,6,18.2,58,15.9,Monsoon,0
Money Plant,Indoor,Pot,Loamy,5.9,58,56,36,37,Indirect Light,3,34.9,69,1.7,Winter,0
Tomato,Outdoor,Ground,Loamy,5.6,76,35,44,23,Full Sun,7,16.3,82,2.0,Winter,0
Money Plant,Indoor,Ground,Loamy,6.0,49,31,53,56,Indirect Light,1,30.0,90,13.1,Autumn,0
Spider Plant,Indoor,Pot,Loamy,7.7,68,45,45,5,Indirect Light,2,31.6,54,13.1,Spring,0
Money Plant,Indoor,Pot,Loamy,6.6,63,56,35,22,Indirect Light,4,19.1,46,18.0,Monsoon,0
Money Plant,Indoor,Ground,Loamy,6.6,69,51,56,46,Indirect Light,5,26.1,36,5.8,Winter,0
Spider Plant,Indoor,Ground,Loamy,6.3,71,32,44,44,Indirect Light,1,18.3,57,17.2,Winter,0
Snake Plant,Indoor,Pot,Loamy,7.1,76,41,34,71,Low Light,2,35.0,53,12.8,Monsoon,0
Money Plant,Indoor,Pot,Loamy,6.5,62,31,56,18,Indirect Light,6,25.6,41,19.7,Summer,0
Basil,Indoor,Pot,Loamy,7.7,40,40,41,88,Partial Sun,0,15.9,51,12.3,Monsoon,0
Money Plant,Indoor,Ground,Loamy,6.0,55,38,32,45,Indirect Light,6,16.9,79,6.9,Winter,0
Cactus,Outdoor,Ground,Sandy,6.7,33,21,15,98,Full Sun,1,32.9,55,14.6,Spring,0
Cactus,Outdoor,Ground,Sandy,7.3,33,23,19,16,Full Sun,2,26.9,90,2.1,Monsoon,0
Basil,Indoor,Ground,Loamy,7.5,50,55,43,2,Partial Sun,0,32.8,38,12.7,Summer,0
Basil,Indoor,Pot,Loamy,7.7,65,43,37,10,Partial Sun,0,29.2,51,18.0,Spring,0
Tomato,Outdoor,Ground,Loamy,6.6,61,53,55,42,Full Sun,4,16.5,71,8.4,Spring,0
Snake Plant,Indoor,Ground,Loamy,5.8,61,55,37,28,Low Light,1,29.5,69,5.0,Monsoon,0
Peace Lily,Indoor,Pot,Loamy,7.9,56,59,52,72,Low Light,6,36.8,44,13.4,Summer,0
Aloe Vera,Outdoor,Ground,Sandy,7.7,31,27,19,79,Full Sun,7,26.5,68,1.8,Summer,1
Spider Plant,Indoor,Ground,Loamy,5.9,44,58,49,30,Indirect Light,1,27.4,73,4.5,Autumn,0
Money Plant,Indoor,Ground,Loamy,7.7,47,55,60,86,Indirect Light,5,23.6,30,19.5,Monsoon,0
Spider Plant,Indoor,Pot,Loamy,6.9,75,57,31,36,Indirect Light,0,37.1,70,15.8,Spring,0
Tomato,Outdoor,Pot,Loamy,7.3,54,30,53,44,Full Sun,2,28.4,52,6.7,Monsoon,0
Tomato,Outdoor,Pot,Loamy,6.5,69,57,54,34,Full Sun,2,29.1,63,13.3,Autumn,0
Aloe Vera,Outdoor,Ground,Sandy,8.0,27,10,20,83,Full Sun,5,22.1,70,7.8,Autumn,0
Tomato,Outdoor,Pot,Loamy,7.6,77,56,31,45,Full Sun,0,33.8,41,17.6,Spring,0
Mint,Outdoor,Pot,Loamy,6.9,48,44,43,3,Partial Sun,6,27.7,76,6.0,Spring,0
Snake Plant,Indoor,Pot,Loamy,7.6,78,49,34,84,Low Light,4,16.5,66,4.8,Autumn,1
Cactus,Outdoor,Pot,Sandy,5.6,27,11,16,96,Full Sun,0,33.2,61,11.5,Autumn,0
Cactus,Outdoor,Ground,Sandy,5.6,23,13,19,20,Full Sun,7,27.0,50,11.2,Monsoon,0
Tomato,Outdoor,Pot,Loamy,6.4,45,43,35,55,Full Sun,5,34.7,35,18.3,Monsoon,0
Money Plant,Indoor,Pot,Loamy,6.6,51,38,33,36,Indirect Light,0,19.5,69,2.3,Summer,2
Aloe Vera,Outdoor,Pot,Sandy,6.1,29,18,23,101,Full Sun,1,30.2,58,9.3,Spring,0
Spider Plant,Indoor,Ground,Loamy,6.8,42,30,42,85,Indirect Light,6,18.0,90,13.2,Summer,0
Cactus,Outdoor,Pot,Sandy,5.8,38,20,23,97,Full Sun,2,36.5,75,8.4,Autumn,0
Money Plant,Indoor,Pot,Loamy,6.7,43,42,58,42,Indirect Light,0,20.1,47,8.3,Summer,0
Mint,Outdoor,Ground,Loamy,6.5,54,30,53,50,Partial Sun,3,24.4,57,6.7,Summer,0
Money Plant,Indoor,Ground,Loamy,6.3,62,60,49,33,Indirect Light,7,25.6,87,4.4,Summer,0
Peace Lily,Indoor,Pot,Loamy,7.9,74,33,32,93,Low Light,2,19.8,90,4.7,Summer,0
Basil,Indoor,Ground,Loamy,7.5,75,45,50,83,Partial Sun,5,32.2,81,5.7,Monsoon,0
Tomato,Outdoor,Ground,Loamy,7.2,73,37,48,94,Full Sun,1,22.0,45,2.3,Spring,2
Basil,Indoor,Pot,Loamy,6.6,66,34,53,75,Partial Sun,7,35.7,57,4.4,Autumn,1
Tomato,Outdoor,Pot,Loamy,6.2,53,47,54,48,Full Sun,1,30.1,77,11.7,Summer,0
Tomato,Outdoor,Ground,Loamy,6.6,69,45,56,102,Full Sun,6,25.8,48,4.3,Summer,1
Basil,Indoor,Ground,Loamy,5.7,69,50,48,50,Partial Sun,7,20.7,75,10.5,Winter,0
Cactus,Outdoor,Pot,Sandy,6.2,29,24,18,32,Full Sun,7,30.7,59,1.9,Monsoon,1
Snake Plant,Indoor,Pot,Loamy,6.4,63,40,39,79,Low Light,0,30.0,89,2.8,Summer,0
Spider Plant,Indoor,Pot,Loamy,7.5,51,37,53,62,Indirect Light,4,29.5,81,0.9,Monsoon,0
Cactus,Outdoor,Ground,Sandy,7.9,31,25,21,63,Full Sun,1,27.5,74,1.2,Monsoon,0
Snake Plant,Indoor,Pot,Loamy,7.2,78,30,44,32,Low Light,1,38.0,45,8.6,Autumn,0
Basil,Indoor,Pot,Loamy,7.5,63,41,48,19,Partial Sun,5,32.2,71,0.1,Autumn,0
Aloe Vera,Outdoor,Pot,Sandy,6.3,39,23,22,47,Full Sun,4,31.7,56,18.0,Winter,0
Cactus,Outdoor,Pot,Sandy,7.1,27,16,17,74,Full Sun,2,24.9,39,0.2,Autumn,0
Peace Lily,Indoor,Pot,Loamy,6.4,55,52,43,14,Low Light,0,22.1,73,10.3,Autumn,0
Mint,Outdoor,Ground,Loamy,6.3,72,45,54,29,Partial Sun,4,18.9,76,8.3,Autumn,0
Spider Plant,Indoor,Ground,Loamy,7.8,62,56,32,101,Indirect Light,7,31.3,70,8.0,Winter,0
Rose,Outdoor,Pot,Clayey,7.8,44,32,51,7,Full Sun,1,15.7,31,4.3,Monsoon,2
Spider Plant,Indoor,Ground,Loamy,6.3,77,56,57,76,Indirect Light,7,26.3,60,1.8,Winter,1
Tomato,Outdoor,Ground,Loamy,5.8,67,46,33,37,Full Sun,3,22.8,46,14.0,Winter,0
Tomato,Outdoor,Ground,Loamy,5.7,80,32,42,96,Full Sun,6,19.1,82,12.6,Winter,0
Snake Plant,Indoor,Pot,Loamy,6.5,61,48,40,55,Low Light,4,31.4,30,6.9,Winter,0
Peace Lily,Indoor,Pot,Loamy,7.3,58,44,48,87,Low Light,4,15.5,33,3.4,Spring,1
Mint,Outdoor,Ground,Loamy,5.7,66,55,50,62,Partial Sun,0,23.2,57,16.9,Monsoon,0
Aloe Vera,Outdoor,Pot,Sandy,7.6,29,27,20,46,Full Sun,3,31.8,40,0.1,Summer,2
Peace Lily,Indoor,Ground,Loamy,5.7,56,41,30,32,Low Light,0,19.3,59,5.7,Spring,0
Spider Plant,Indoor,Pot,Loamy,6.9,64,46,30,7,Indirect Light,5,20.3,79,9.0,Monsoon,0
Snake Plant,Indoor,Pot,Loamy,6.0,51,33,60,64,Low Light,6,36.4,87,3.0,Autumn,0
Mint,Outdoor,Pot,Loamy,6.0,75,58,46,16,Partial Sun,4,26.9,40,18.8,Winter,0
Money Plant,Indoor,Ground,Loamy,7.9,66,33,49,85,Indirect Light,1,35.5,33,18.9,Monsoon,0
Spider Plant,Indoor,Pot,Loamy,6.7,57,52,46,68,Indirect Light,5,23.3,37,18.5,Spring,0
Snake Plant,Indoor,Ground,Loamy,7.1,63,42,30,82,Low Light,7,30.6,80,19.5,Summer,0
Snake Plant,Indoor,Ground,Loamy,7.6,61,40,38,30,Low Light,0,23.6,85,18.9,Winter,0
Spider Plant,Indoor,Ground,Loamy,5.7,42,33,32,16,Indirect Light,7,37.1,42,17.8,Autumn,0
Rose,Outdoor,Pot,Clayey,7.5,47,41,44,78,Full Sun,7,23.7,50,18.2,Monsoon,0
Money Plant,Indoor,Ground,Loamy,7.6,78,34,44,48,Indirect Light,6,26.4,72,12.6,Autumn,0
Rose,Outdoor,Ground,Clayey,5.8,48,25,42,49,Full Sun,6,28.7,67,4.5,Autumn,1
Cactus,Outdoor,Ground,Sandy,6.5,32,15,19,4,Full Sun,0,25.9,56,2.6,Monsoon,2
Money Plant,Indoor,Pot,Loamy,7.4,74,33,41,81,Indirect Light,4,23.4,75,6.4,Summer,0
Basil,Indoor,Pot,Loamy,7.4,77,37,46,102,Partial Sun,3,18.9,70,6.5,Summer,0
Spider Plant,Indoor,Pot,Loamy,6.9,63,34,54,51,Indirect Light,0,32.9,77,10.0,Spring,0
Tomato,Outdoor,Pot,Loamy,6.3,63,57,55,98,Full Sun,6,19.5,88,1.3,Autumn,0
Tomato,Outdoor,Pot,Loamy,7.7,53,57,31,88,Full Sun,5,33.9,65,9.5,Winter,0
Cactus,Outdoor,Ground,Sandy,7.7,37,24,25,52,Full Sun,1,15.7,78,18.9,Autumn,0
Spider Plant,Indoor,Pot,Loamy,7.8,78,49,59,48,Indirect Light,2,21.4,64,19.8,Autumn,0
Aloe Vera,Outdoor,Ground,Sandy,6.0,35,12,19,15,Full Sun,6,25.1,32,4.1,Winter,1
Mint,Outdoor,Ground,Loamy,6.9,59,53,41,67,Partial Sun,2,16.2,76,18.6,Monsoon,0
Mint,Outdoor,Ground,Loamy,6.1,72,54,57,50,Partial Sun,5,22.7,81,3.5,Spring,0
Mint,Outdoor,Pot,Loamy,7.8,68,41,49,33,Partial Sun,0,17.4,81,0.4,Spring,0
Rose,Outdoor,Pot,Clayey,6.8,38,44,40,13,Full Sun,7,32.2,45,3.6,Spring,1
Spider Plant,Indoor,Pot,Loamy,5.6,58,34,34,78,Indirect Light,4,37.1,73,16.2,Summer,0
Mint,Outdoor,Pot,Loamy,6.0,44,53,56,26,Partial Sun,2,20.7,39,8.6,Monsoon,0
Spider Plant,Indoor,Ground,Loamy,7.0,50,36,50,35,Indirect Light,6,20.7,79,5.8,Winter,0
Cactus,Outdoor,Pot,Sandy,7.6,37,16,22,36,Full Sun,3,37.0,61,9.1,Monsoon,0
Basil,Indoor,Ground,Loamy,6.0,43,37,39,69,Partial Sun,1,20.1,67,5.2,Summer,0
Rose,Outdoor,Pot,Clayey,6.1,49,30,56,18,Full Sun,0,16.2,31,12.7,Winter,0
Aloe Vera,Outdoor,Pot,Sandy,5.5,35,21,25,54,Full Sun,1,19.6,43,19.5,Autumn,0
Tomato,Outdoor,Pot,Loamy,5.9,52,46,37,50,Full Sun,0,37.8,79,10.4,Spring,0
Aloe Vera,Outdoor,Ground,Sandy,6.1,33,14,25,18,Full Sun,2,24.7,42,4.7,Spring,0
Mint,Outdoor,Ground,Loamy,6.7,42,58,41,94,Partial Sun,2,28.5,41,15.4,Monsoon,0
Mint,Outdoor,Pot,Loamy,7.5,40,52,58,45,Partial Sun,0,15.4,61,8.2,Summer,0
Peace Lily,Indoor,Ground,Loamy,7.3,44,41,36,68,Low Light,7,35.9,63,14.7,Summer,0
Tomato,Outdoor,Pot,Loamy,5.7,73,59,57,58,Full Sun,1,20.1,30,1.3,Spring,2
Mint,Outdoor,Ground,Loamy,7.7,76,30,36,42,Partial Sun,1,21.4,84,2.6,Summer,0
Peace Lily,Indoor,Ground,Loamy,6.8,67,45,38,17,Low Light,2,37.7,41,6.3,Spring,0
Rose,Outdoor,Pot,Clayey,6.8,50,41,53,83,Full Sun,0,22.6,70,17.9,Summer,0
Peace Lily,Indoor,Ground,Loamy,6.2,80,39,33,36,Low Light,0,21.3,54,11.2,Summer,0
Rose,Outdoor,Ground,Clayey,6.6,43,34,50,42,Full Sun,1,33.3,31,16.6,Winter,0
Cactus,Outdoor,Pot,Sandy,6.7,32,28,16,3,Full Sun,5,27.9,71,1.9,Winter,0
Money Plant,Indoor,Pot,Loamy,7.0,73,47,51,46,Indirect Light,0,34.2,61,10.2,Summer,0
Mint,Outdoor,Ground,Loamy,7.2,80,33,38,92,Partial Sun,0,33.2,58,18.1,Winter,0
Money Plant,Indoor,Ground,Loamy,5.6,63,39,45,59,Indirect Light,5,15.1,87,9.4,Winter,0
Mint,Outdoor,Ground,Loamy,5.9,73,51,53,45,Partial Sun,6,37.1,32,7.6,Winter,0
Money Plant,Indoor,Ground,Loamy,7.2,57,43,54,71,Indirect Light,3,36.2,70,16.5,Winter,0
Aloe Vera,Outdoor,Pot,Sandy,7.6,20,21,23,95,Full Sun,0,36.0,47,14.5,Monsoon,0
Cactus,Outdoor,Pot,Sandy,5.9,20,26,17,75,Full Sun,1,32.5,41,14.9,Monsoon,0
Cactus,Outdoor,Ground,Sandy,6.7,31,29,24,53,Full Sun,2,35.8,54,14.8,Winter,0
Aloe Vera,Outdoor,Ground,Sandy,5.5,38,11,25,10,Full Sun,0,25.2,44,8.8,Winter,0
Peace Lily,Indoor,Pot,Loamy,7.4,79,59,60,50,Low Light,6,18.1,35,6.5,Monsoon,0
Cactus,Outdoor,Ground,Sandy,7.3,31,24,16,77,Full Sun,2,27.7,56,17.8,Monsoon,0
Basil,Indoor,Ground,Loamy,7.3,52,48,42,4,Partial Sun,0,32.1,81,12.1,Winter,0
Mint,Outdoor,Pot,Loamy,5.7,53,33,53,94,Partial Sun,2,17.9,80,13.0,Spring,0
Peace Lily,Indoor,Pot,Loamy,6.6,56,39,43,55,Low Light,1,18.3,43,14.2,Winter,0
Basil,Indoor,Ground,Loamy,5.9,58,56,34,19,Partial Sun,1,35.0,86,4.1,Winter,0
Spider Plant,Indoor,Pot,Loamy,5.6,78,40,56,10,Indirect Light,1,33.7,32,19.1,Monsoon,0
Snake Plant,Indoor,Pot,Loamy,6.8,50,43,56,17,Low Light,7,17.6,39,9.4,Monsoon,0
Basil,Indoor,Ground,Loamy,7.8,76,45,47,22,Partial Sun,0,26.1,75,15.9,Summer,0
Peace Lily,Indoor,Ground,Loamy,7.3,74,34,44,99,Low Light,7,32.8,86,9.5,Autumn,0
Basil,Indoor,Ground,Loamy,5.6,71,31,51,49,Partial Sun,1,15.2,80,16.1,Autumn,0
Tomato,Outdoor,Ground,Loamy,7.9,60,42,47,43,Full Sun,1,15.9,83,15.1,Spring,0
Snake Plant,Indoor,Ground,Loamy,6.2,78,51,60,55,Low Light,0,25.5,69,14.5,Winter,0
Money Plant,Indoor,Pot,Loamy,7.5,44,53,55,79,Indirect Light,2,18.8,45,6.3,Monsoon,0
Snake Plant,Indoor,Pot,Loamy,6.1,42,60,48,57,Low Light,4,29.4,65,13.0,Summer,0
Money Plant,Indoor,Ground,Loamy,6.4,40,45,51,82,Indirect Light,5,24.2,87,10.3,Winter,0
Money Plant,Indoor,Pot,Loamy,7.4,42,33,34,62,Indirect Light,4,16.7,46,17.8,Summer,0
Aloe Vera,Outdoor,Pot,Sandy,6.3,25,28,21,71,Full Sun,5,37.2,44,11.2,Spring,0
Tomato,Outdoor,Pot,Loamy,6.1,51,52,32,90,Full Sun,7,25.9,85,1.1,Winter,0
Mint,Outdoor,Pot,Loamy,7.6,63,57,54,27,Partial Sun,3,23.7,80,10.2,Spring,0
Money Plant,Indoor,Pot,Loamy,6.3,46,42,42,91,Indirect Light,3,17.5,63,2.9,Autumn,0
Mint,Outdoor,Pot,Loamy,5.5,64,47,49,68,Partial Sun,2,32.6,46,3.0,Monsoon,0
Aloe Vera,Outdoor,Pot,Sandy,7.4,31,26,18,33,Full Sun,3,36.5,54,6.5,Winter,0
Peace Lily,Indoor,Ground,Loamy,6.4,48,55,49,6,Low Light,3,33.3,68,8.7,Winter,0
Money Plant,Indoor,Ground,Loamy,5.8,64,43,58,43,Indirect Light,3,22.4,75,0.2,Summer,0
Aloe Vera,Outdoor,Ground,Sandy,7.9,22,22,24,15,Full Sun,1,27.3,34,10.7,Spring,0
Mint,Outdoor,Pot,Loamy,5.6,65,48,49,49,Partial Sun,5,36.6,65,14.2,Summer,0
Basil,Indoor,Ground,Loamy,7.9,80,53,37,46,Partial Sun,7,29.5,51,3.8,Spring,1
Cactus,Outdoor,Ground,Sandy,6.5,37,11,19,35,Full Sun,1,18.0,73,4.8,Monsoon,0
Rose,Outdoor,Pot,Clayey,6.6,43,34,44,39,Full Sun,0,20.4,75,20.0,Monsoon,0
Aloe Vera,Outdoor,Pot,Sandy,7.4,22,14,20,90,Full Sun,3,16.6,53,8.6,Autumn,0
Tomato,Outdoor,Pot,Loamy,7.7,68,50,43,54,Full Sun,0,24.3,53,5.4,Summer,0
Money Plant,Indoor,Ground,Loamy,6.6,77,36,59,41,Indirect Light,2,21.6,44,19.5,Monsoon,0
Spider Plant,Indoor,Pot,Loamy,7.8,41,60,34,41,Indirect Light,3,17.7,89,1.0,Monsoon,0
Cactus,Outdoor,Ground,Sandy,6.7,38,18,24,65,Full Sun,1,23.9,43,7.2,Summer,0
Snake Plant,Indoor,Pot,Loamy,7.7,80,47,38,45,Low Light,5,32.7,79,9.5,Summer,0
Snake Plant,Indoor,Pot,Loamy,5.6,62,55,39,26,Low Light,1,30.9,53,4.6,Monsoon,0
Peace Lily,Indoor,Ground,Loamy,6.6,70,31,54,61,Low Light,4,31.6,90,8.5,Autumn,0
Cactus,Outdoor,Ground,Sandy,8.0,36,22,20,80,Full Sun,1,18.4,46,0.0,Monsoon,2
Mint,Outdoor,Ground,Loamy,7.0,79,35,32,98,Partial Sun,5,31.8,78,18.5,Autumn,0
Rose,Outdoor,Ground,Clayey,5.6,36,38,66,66,Full Sun,3,15.7,82,15.3,Autumn,0
Aloe Vera,Outdoor,Ground,Sandy,7.0,28,15,20,48,Full Sun,7,28.5,75,7.5,Autumn,0
Rose,Outdoor,Ground,Clayey,6.6,49,43,51,45,Full Sun,3,25.0,64,13.4,Monsoon,0
Mint,Outdoor,Ground,Loamy,7.3,61,41,37,47,Partial Sun,3,34.2,37,19.7,Winter,0
Mint,Outdoor,Pot,Loamy,7.7,51,54,52,71,Partial Sun,0,15.5,58,15.6,Spring,0
Tomato,Outdoor,Pot,Loamy,7.3,65,34,60,102,Full Sun,1,20.3,30,4.0,Summer,2
Mint,Outdoor,Pot,Loamy,5.9,57,38,33,46,Partial Sun,3,32.8,90,8.3,Winter,0
Mint,Outdoor,Pot,Loamy,7.9,42,37,38,57,Partial Sun,6,32.1,62,6.9,Monsoon,0
Cactus,Outdoor,Pot,Sandy,7.7,24,18,23,4,Full Sun,2,15.6,67,19.8,Monsoon,0
Peace Lily,Indoor,Pot,Loamy,6.1,55,30,57,16,Low Light,2,31.3,65,0.2,Winter,0
Peace Lily,Indoor,Ground,Loamy,6.9,61,32,52,81,Low Light,2,19.5,36,10.1,Autumn,0
Peace Lily,Indoor,Pot,Loamy,7.3,43,45,58,60,Low Light,4,25.8,63,17.2,Winter,0
